AL,7/31/2017,0.000517019
AR,7/31/2017,-0.002903037
AZ,7/31/2017,-0.01780351
CA,7/31/2017,-0.004711946
CO,7/31/2017,-0.001603987
CT,7/31/2017,-0.002502977
DC,7/31/2017,-0.00117402
DE,7/31/2017,-0.004718613
FL,7/31/2017,-0.005095734
GA,7/31/2017,-0.006485641
HI,7/31/2017,0.023642647
IA,7/31/2017,0.005807671
ID,7/31/2017,0.002499019
IL,7/31/2017,-0.002851157
IN,7/31/2017,0.006573938
KS,7/31/2017,0.001860995
KY,7/31/2017,0.002926195
LA,7/31/2017,-0.010575393
MA,7/31/2017,0.003105522
MD,7/31/2017,0.002567318
ME,7/31/2017,0.003507687
MI,7/31/2017,0.001964842
MN,7/31/2017,-0.006391912
MO,7/31/2017,0.001316412
MS,7/31/2017,-0.002927879
MT,7/31/2017,-0.004602717
NC,7/31/2017,-0.000114792
ND,7/31/2017,-0.015514254
NE,7/31/2017,-0.005214377
NH,7/31/2017,-0.000800568
NJ,7/31/2017,0.003974229
NM,7/31/2017,-0.004437071
NV,7/31/2017,0.004106217
NY,7/31/2017,-0.000220723
OH,7/31/2017,-0.00096989
OK,7/31/2017,-0.004901373
OR,7/31/2017,0.001754697
PA,7/31/2017,-0.004771277
RI,7/31/2017,0.00168506
SC,7/31/2017,-0.006739965
SD,7/31/2017,0.007168437
TN,7/31/2017,0.004193738
TX,7/31/2017,-0.006673336
UT,7/31/2017,0.001244578
VA,7/31/2017,0.000889662
VT,7/31/2017,-0.003659262
WA,7/31/2017,0.003092361
WI,7/31/2017,-0.005973147
WV,7/31/2017,-0.000932886
WY,7/31/2017,0.005223925